Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Agung,Indonesia,IDN,-8.342,115.508,3142,Stratovolcano,5,1963,1900s,163
Agung,Indonesia,IDN,-8.342,115.508,3142,Stratovolcano,5,1963,1900s,165
Gamkonora,Indonesia,IDN,1.38,127.53,1635,Stratovolcano,5,1673,1600s,15
Krakatau,Indonesia,IDN,-6.102,105.423,813,Caldera,6,1883,1800s,2000
Krakatau,Indonesia,IDN,-6.102,105.423,813,Caldera,6,1883,1800s,36000
Tambora,Indonesia,IDN,-8.25,118,2850,Stratovolcano,7,1812,1800s,12000
Tambora,Indonesia,IDN,-8.25,118,2850,Stratovolcano,7,1812,1800s,49000
Iliwerung,Indonesia,IDN,-8.53,123.57,1018,Complex,7,1976,1900s,539
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,TBA,2000s,8
Guntur,Indonesia,IDN,-7.143,107.84,2249,Complex,2,1800,1800s,15
Sirung,Indonesia,IDN,-8.508,124.13,862,Complex,1,1953,1900s,5
Gamalama,Indonesia,IDN,0.8,127.33,1715,Stratovolcano(es),5,2011,2000s,4
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),1,1689,1600s,2
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),1,1928,1900s,5
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),1,1929,1900s,2
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),1,1985,1900s,1
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,2,1934,1900s,1
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,2,1934,2000s,1
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),2,1832,1800s,5
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),2,1843,1800s,58
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),2,1979,1900s,9
Etna,Italy,ITA,37.734,15.004,3330,Stratovolcano(es),2,1987,1900s,2
Campi Flegrei,Italy,ITA,40.827,14.139,458,Caldera,3,1538,1500s,100
Campi Flegrei,Italy,ITA,40.827,14.139,458,Caldera,3,1538,1500s,3
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1682,1600s,1
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1682,1600s,3
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1783,1700s,60
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1783,1700s,400
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1870,1800s,9
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1870,1800s,2
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1870,1800s,7
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1913,1900s,12
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1913,1900s,9
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1913,1900s,3
Vesuvius,Italy,ITA,40.821,14.426,1281,Somma,3,1913,1900s,3
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,3,1910,1900s,2
Stromboli,Italy,ITA,38.789,15.213,924,Stratovolcano,3,1910,1900s,2
